Итерация,Тип подвески,Xmech1,Xmech2,Xmech3,,Плавность хода,Энергопотребление,Угол крена,Угол дифферента,Проходимость,Итоговая Парето
99,Double Wishbone,4.0,0.05,0.4,,6.7753,152805.5088,0.1003,0.1817,1,100000000000017.52
100,Double Wishbone,6.0,0.05,0.4,,7.9358,202052.3433,0.1267,0.2083,1,100000000000022.83
101,Double Wishbone,8.0,0.05,0.4,,7.7194,197835.2326,0.0876,0.1775,1,100000000000022.28
102,Double Wishbone,10.0,0.05,0.4,,8.5643,236575.3969,0.1767,0.183,1,100000000000026.48
103,Double Wishbone,0,0.1,0.4,,3.6039,332.7933,0.0,0.0,1,100000000000001.11
104,Double Wishbone,2.0,0.1,0.4,,3.6039,332.785,0.0,0.0,1,100000000000001.11
105,Double Wishbone,4.0,0.1,0.4,,3.6039,332.7763,0.0,0.0,1,100000000000001.11
106,Double Wishbone,6.0,0.1,0.4,,3.6039,332.768,0.0,0.0,1,100000000000001.11
107,Double Wishbone,8.0,0.1,0.4,,3.6039,332.7597,0.0,0.0,1,100000000000001.11
108,Double Wishbone,10.0,0.1,0.4,,3.6039,332.7513,0.0,0.0,1,100000000000001.11
109,Double Wishbone,0,0.15,0.4,,3.6039,98.8718,0.0,0.0,1,100000000000001.1
110,Double Wishbone,2.0,0.15,0.4,,3.6039,98.8652,0.0,0.0,1,100000000000001.1
111,Double Wishbone,4.0,0.15,0.4,,3.6039,98.8607,0.0,0.0,1,100000000000001.1
112,Double Wishbone,6.0,0.15,0.4,,3.6039,98.8636,0.0,0.0,1,100000000000001.1
113,Double Wishbone,8.0,0.15,0.4,,3.6039,98.8644,0.0,0.0,1,100000000000001.1
114,Double Wishbone,10.0,0.15,0.4,,3.6039,98.8653,0.0,0.0,1,100000000000001.1
115,Double Wishbone,0,0.2,0.4,,3.6039,43.4707,0.0,0.0,1,100000000000001.08
116,Double Wishbone,2.0,0.2,0.4,,3.6039,43.4676,0.0,0.0,1,100000000000001.08
117,Double Wishbone,4.0,0.2,0.4,,3.6039,43.4685,0.0,0.0,1,100000000000001.08
118,Double Wishbone,6.0,0.2,0.4,,3.6039,43.4693,0.0,0.0,1,100000000000001.08
119,Double Wishbone,8.0,0.2,0.4,,3.6039,43.4701,0.0,0.0,1,100000000000001.08
120,Double Wishbone,10.0,0.2,0.4,,3.6039,43.4703,0.0,0.0,1,100000000000001.08
121,Double Wishbone,0,0.05,0.45,,6.1007,127542.0919,0.0666,0.1977,1,100000000000014.77
122,Double Wishbone,2.0,0.05,0.45,,6.1296,111264.0473,0.0389,0.1985,1,100000000000013.12
123,Double Wishbone,4.0,0.05,0.45,,7.542,194657.0816,0.1191,0.1867,1,100000000000021.94
124,Double Wishbone,6.0,0.05,0.45,,7.8874,194304.9588,0.1782,0.1932,1,100000000000022.06
125,Double Wishbone,8.0,0.05,0.45,,6.1585,122041.6724,0.0483,0.1796,1,100000000000014.22
126,Double Wishbone,10.0,0.05,0.45,,5.0552,82779.2903,0.0365,0.0671,1,100000000000009.86
127,Double Wishbone,0,0.1,0.45,,3.6029,274.9974,0.0,0.0,1,100000000000001.11
128,Double Wishbone,2.0,0.1,0.45,,3.6029,274.9936,0.0,0.0,1,100000000000001.11
129,Double Wishbone,4.0,0.1,0.45,,3.6029,274.9898,0.0,0.0,1,100000000000001.11
130,Double Wishbone,6.0,0.1,0.45,,3.6029,274.9859,0.0,0.0,1,100000000000001.11
131,Double Wishbone,8.0,0.1,0.45,,3.6029,274.9822,0.0,0.0,1,100000000000001.11
132,Double Wishbone,10.0,0.1,0.45,,3.6029,274.9785,0.0,0.0,1,100000000000001.11
133,Double Wishbone,0,0.15,0.45,,3.6029,82.7415,0.0,0.0,1,100000000000001.1
134,Double Wishbone,2.0,0.15,0.45,,3.6029,82.7404,0.0,0.0,1,100000000000001.1
135,Double Wishbone,4.0,0.15,0.45,,3.6029,82.7365,0.0,0.0,1,100000000000001.1
136,Double Wishbone,6.0,0.15,0.45,,3.6029,82.7363,0.0,0.0,1,100000000000001.1
137,Double Wishbone,8.0,0.15,0.45,,3.6029,82.7372,0.0,0.0,1,100000000000001.1
138,Double Wishbone,10.0,0.15,0.45,,3.6029,82.7381,0.0,0.0,1,100000000000001.1
139,Double Wishbone,0,0.2,0.45,,3.6029,36.5823,0.0,0.0,1,100000000000001.08
140,Double Wishbone,2.0,0.2,0.45,,3.6029,36.5795,0.0,0.0,1,100000000000001.08
141,Double Wishbone,4.0,0.2,0.45,,3.6029,36.5798,0.0,0.0,1,100000000000001.08
142,Double Wishbone,6.0,0.2,0.45,,3.6029,36.5805,0.0,0.0,1,100000000000001.08
143,Double Wishbone,8.0,0.2,0.45,,3.6029,36.5803,0.0,0.0,1,100000000000001.08
144,Double Wishbone,10.0,0.2,0.45,,3.6029,36.5807,0.0,0.0,1,100000000000001.08
145,Double Wishbone,0,0.05,0.5,,3.602,2581.0179,0.0,0.0001,1,100000000000001.34
146,Double Wishbone,2.0,0.05,0.5,,3.602,2579.4771,0.0,0.0001,1,100000000000001.34
